🇨🇳央视蓝光4k,#genre#咪咕3K
CCTV7[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225671/index.m3u8
CCTV7[1920*1080],http://39.134.65.183/PLTV/88888888/224/3221225671/index.m3u8
CCTV7[1920*1080],http://39.134.66.2/PLTV/88888888/224/3221225671/index.m3u8
CCTV8[1920*1080],http://39.134.65.181/PLTV/88888888/224/3221225795/index.m3u8
CCTV8[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225795/index.m3u8
CCTV8[1920*1080],http://39.134.65.183/PLTV/88888888/224/3221225795/index.m3u8
CCTV8[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225795/index.m3u8
CCTV8[1920*1080],http://39.134.65.177/PLTV/88888888/224/3221225795/index.m3u8
CCTV9[1920*1080],http://39.134.66.46/PLTV/88888888/224/3221225676/index.m3u8
CCTV9[1920*1080],http://39.134.65.179/PLTV/88888888/224/3221225676/index.m3u8
CCTV9[1920*1080],http://39.134.65.181/PLTV/88888888/224/3221225676/index.m3u8
CCTV9[1920*1080],http://39.134.65.166/PLTV/88888888/224/3221225676/index.m3u8
CCTV9[1920*1080],http://39.134.65.183/PLTV/88888888/224/3221225676/index.m3u8
CCTV9[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225676/index.m3u8
CCTV10[1920*1080],http://39.134.65.179/PLTV/88888888/224/3221225677/index.m3u8
CCTV10[1920*1080],http://39.134.65.164/PLTV/88888888/224/3221225677/index.m3u8
CCTV10[1920*1080],http://39.134.65.166/PLTV/88888888/224/3221225677/index.m3u8
CCTV10[1920*1080],http://39.134.65.181/PLTV/88888888/224/3221225677/index.m3u8
CCTV10[1920*1080],http://39.134.65.183/PLTV/88888888/224/3221225677/index.m3u8
CCTV10[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV12[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV12[1920*1080],http://39.134.65.179/PLTV/88888888/224/3221225669/index.m3u8
CCTV12[1920*1080],http://39.134.65.164/PLTV/88888888/224/3221225669/index.m3u8
CCTV12[1920*1080],http://39.134.65.181/PLTV/88888888/224/3221225669/index.m3u8
CCTV12[1920*1080],http://39.134.65.166/PLTV/88888888/224/3221225669/index.m3u8
CCTV12[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225669/index.m3u8
CCTV14[1920*1080],http://39.134.65.179/PLTV/88888888/224/3221225674/index.m3u8
CCTV14[1920*1080],http://39.134.65.164/PLTV/88888888/224/3221225674/index.m3u8
CCTV14[1920*1080],http://39.134.65.181/PLTV/88888888/224/3221225674/index.m3u8
CCTV14[1920*1080],http://39.134.65.183/PLTV/88888888/224/3221225674/index.m3u8
CCTV14[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225674/index.m3u8
CCTV14[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV17[1920*1080],http://39.134.66.46/PLTV/88888888/224/3221225708/index.m3u8
CCTV17[1920*1080],http://39.134.65.181/PLTV/88888888/224/3221225708/index.m3u8
CCTV17[1920*1080],http://39.134.65.183/PLTV/88888888/224/3221225708/index.m3u8
CCTV1[1920*1080],http://117.148.179.155/PLTV/88888888/224/3221231468/1.m3u8
CCTV2[1920*1080],http://117.148.179.147/PLTV/88888888/224/3221231678/1.m3u8
CCTV3[1920*1080],http://117.148.179.183/PLTV/88888888/224/3221231682/1.m3u8
CCTV4[1920*1080],http://117.148.179.160/PLTV/88888888/224/3221231726/1.m3u8
CCTV4[1920*1080],http://117.148.179.182/PLTV/88888888/224/3221231726/1.m3u8
CCTV4[1920*1080],http://117.148.179.162/PLTV/88888888/224/3221231615/1.m3u8
CCTV4[1920*1080],http://117.148.179.160/PLTV/88888888/224/3221231654/1.m3u8
CCTV5+[1920*1080],http://117.148.179.136/PLTV/88888888/224/3221231459/1.m3u8
CCTV6[1920*1080],http://117.148.179.153/PLTV/88888888/224/3221231724/1.m3u8
CCTV7[1920*1080],http://117.148.179.160/PLTV/88888888/224/3221231633/1.m3u8
CCTV8[1920*1080],http://117.148.179.160/PLTV/88888888/224/3221231694/1.m3u8
CCTV9[1920*1080],http://117.148.179.162/PLTV/88888888/224/3221231697/1.m3u8
CCTV10[1920*1080],http://117.148.179.164/PLTV/88888888/224/3221232492/1.m3u8
CCTV10[1920*1080],http://117.148.179.175/PLTV/88888888/224/3221231666/1.m3u8
CCTV11[1920*1080],http://117.148.179.164/PLTV/88888888/224/3221231711/1.m3u8
CCTV12[1920*1080],http://117.148.179.150/PLTV/88888888/224/3221231660/1.m3u8
CCTV14[1920*1080],http://117.148.179.182/PLTV/88888888/224/3221231648/1.m3u8
CCTV15[1920*1080],http://117.148.179.169/PLTV/88888888/224/3221231693/1.m3u8
CCTV17[1920*1080],http://117.148.179.167/PLTV/88888888/224/3221231772/1.m3u8
CCTV4EUO[1920*1080],http://117.148.179.162/PLTV/88888888/224/3221231615/1.m3u8
CCTV4AME[1920*1080],http://117.148.179.160/PLTV/88888888/224/3221231654/1.m3u8
CCTV8K[1920*1080],http://117.148.179.148/PLTV/88888888/224/3221233350/1.m3u8
CCTV1[1920*1080],http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV3[1920*1080],http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4K[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233400/1.m3u8
CCTV8K[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233350/1.m3u8
CCTV8K[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233404/1.m3u8
CCTV8K[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233413/1.m3u8
CCTV4K[1920*1080],http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV16[1920*1080],http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV3[1920*1080],http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV5[1920*1080],http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
📺央视蓝光2,#genre#
CCTV8K[1920•1080],http://117.148.179.148/PLTV/88888888/224/3221233350/1.m3u8
CCTV8K[1920•1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233413/1.m3u8
CCTV1[1920•1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1[1920•1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV1[1920•1080],http://yd-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8
CCTV1[1920•1080],http://hw-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8
CCTV1[1920•1080],http://39.134.66.48/PLTV/88888888/224/3221225816/index.m3u8
CCTV1[1920•1080],http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV1[1920•1080],http://39.134.65.179/PLTV/88888888/224/3221225816/index.m3u8
CCTV1[1920•1080],http://39.134.65.181/PLTV/88888888/224/3221225816/index.m3u8
CCTV1[1920•1080],http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1[1920•1080],http://117.148.179.155/PLTV/88888888/224/3221231468/1.m3u8
CCTV2[1920•1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV2[1920•1080],http://117.148.179.147/PLTV/88888888/224/3221231678/1.m3u8
CCTV3[1920•1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV3[1920•1080],http://39.134.66.46/PLTV/88888888/224/3221225799/index.m3u8
CCTV3[1920•1080],http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV3[1920•1080],http://39.134.65.179/PLTV/88888888/224/3221225799/index.m3u8
CCTV3[1920•1080],http://39.134.65.181/PLTV/88888888/224/3221225799/index.m3u8
CCTV3[1920•1080],http://39.134.65.173/PLTV/88888888/224/3221225799/index.m3u8
CCTV3[1920•1080],http://39.134.65.183/PLTV/88888888/224/3221225799/index.m3u8
CCTV3[1920•1080],http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8
CCTV3[1920•1080],http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4[1920•1080],http://117.148.179.162/PLTV/88888888/224/3221231615/1.m3u8
CCTV4K[1920•1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233400/1.m3u8
CCTV5[1920•1080],http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV5[1920•1080],http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV5[1920•1080],http://39.134.65.179/PLTV/88888888/224/3221225818/index.m3u8
CCTV5[1920•1080],http://39.134.65.181/PLTV/88888888/224/3221225818/index.m3u8
CCTV5[1920•1080],http://39.134.65.173/PLTV/88888888/224/3221225818/index.m3u8
CCTV5[1920•1080],http://39.134.66.2/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+[1920•1080],http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+[1920•1080],http://39.134.65.181/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+[1920•1080],http://39.134.65.173/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+[1920•1080],http://39.134.65.183/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+[1920•1080],http://39.134.65.175/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+[1920•1080],http://39.134.65.162/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+[1920•1080],http://117.148.179.136/PLTV/88888888/224/3221231459/1.m3u8
CCTV6[1920•1080],http://117.148.179.153/PLTV/88888888/224/3221231724/1.m3u8
CCTV6[1920•1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8
CCTV6[1920•1080],http://39.134.65.181/PLTV/88888888/224/3221225814/index.m3u8
CCTV6[1920•1080],http://39.134.65.173/PLTV/88888888/224/3221225814/index.m3u8
CCTV6[1920•1080],http://39.134.65.183/PLTV/88888888/224/3221225814/index.m3u8
CCTV6[1920•1080],http://39.134.65.175/PLTV/88888888/224/3221225814/index.m3u8
CCTV6[1920•1080],http://39.134.65.177/PLTV/88888888/224/3221225814/index.m3u8
CCTV6[1920•1080],http://39.134.66.2/PLTV/88888888/224/3221225814/index.m3u8
CCTV7[1920•1080],http://39.134.65.179/PLTV/88888888/224/3221225671/index.m3u8
CCTV7[1920•1080],http://39.134.65.164/PLTV/88888888/224/3221225671/index.m3u8
CCTV7[1920•1080],http://39.134.65.181/PLTV/88888888/224/3221225671/index.m3u8
CCTV7[1920•1080],http://39.134.65.173/PLTV/88888888/224/3221225671/index.m3u8
CCTV7[1920•1080],http://39.134.65.183/PLTV/88888888/224/3221225671/index.m3u8
CCTV7[1920•1080],http://39.134.66.2/PLTV/88888888/224/3221225671/index.m3u8
CCTV8[1920•1080],http://39.134.65.181/PLTV/88888888/224/3221225795/index.m3u8
CCTV8[1920•1080],http://39.134.65.173/PLTV/88888888/224/3221225795/index.m3u8
CCTV8[1920•1080],http://39.134.65.183/PLTV/88888888/224/3221225795/index.m3u8
CCTV8[1920•1080],http://39.134.65.175/PLTV/88888888/224/3221225795/index.m3u8
CCTV8[1920•1080],http://39.134.65.177/PLTV/88888888/224/3221225795/index.m3u8
CCTV9[1920•1080],http://39.134.66.46/PLTV/88888888/224/3221225676/index.m3u8
CCTV9[1920•1080],http://39.134.65.179/PLTV/88888888/224/3221225676/index.m3u8
CCTV9[1920•1080],http://39.134.65.181/PLTV/88888888/224/3221225676/index.m3u8
CCTV9[1920•1080],http://39.134.65.166/PLTV/88888888/224/3221225676/index.m3u8
CCTV9[1920•1080],http://39.134.65.183/PLTV/88888888/224/3221225676/index.m3u8
CCTV9[1920•1080],http://39.134.65.173/PLTV/88888888/224/3221225676/index.m3u8
CCTV9[1920•1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV9[1920•1080],http://117.148.179.162/PLTV/88888888/224/3221231697/1.m3u8
CCTV10[1920•1080],http://117.148.179.164/PLTV/88888888/224/3221232492/1.m3u8
CCTV10[1920•1080],http://117.148.179.175/PLTV/88888888/224/3221231666/1.m3u8
CCTV10[1920•1080],http://39.134.65.179/PLTV/88888888/224/3221225677/index.m3u8
CCTV10[1920•1080],http://39.134.65.164/PLTV/88888888/224/3221225677/index.m3u8
CCTV10[1920•1080],http://39.134.65.166/PLTV/88888888/224/3221225677/index.m3u8
CCTV10[1920•1080],http://39.134.65.181/PLTV/88888888/224/3221225677/index.m3u8
CCTV10[1920•1080],http://39.134.65.183/PLTV/88888888/224/3221225677/index.m3u8
CCTV11[1920•1080],http://117.148.179.164/PLTV/88888888/224/3221231711/1.m3u8
CCTV12[1920•1080],http://117.148.179.150/PLTV/88888888/224/3221231660/1.m3u8
CCTV12[1920•1080],http://39.134.65.179/PLTV/88888888/224/3221225669/index.m3u8
CCTV12[1920•1080],http://39.134.65.164/PLTV/88888888/224/3221225669/index.m3u8
CCTV12[1920•1080],http://39.134.65.181/PLTV/88888888/224/3221225669/index.m3u8
CCTV12[1920•1080],http://39.134.65.173/PLTV/88888888/224/3221225669/index.m3u8
CCTV13[1920•1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV13[1920•1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225638/index.m3u8
CCTV14[1920•1080],http://39.134.65.179/PLTV/88888888/224/3221225674/index.m3u8
CCTV14[1920•1080],http://39.134.65.164/PLTV/88888888/224/3221225674/index.m3u8
CCTV14[1920•1080],http://39.134.65.181/PLTV/88888888/224/3221225674/index.m3u8
CCTV14[1920•1080],http://39.134.65.183/PLTV/88888888/224/3221225674/index.m3u8
CCTV14[1920•1080],http://39.134.65.173/PLTV/88888888/224/3221225674/index.m3u8
CCTV15[1920•1080],http://117.148.179.169/PLTV/88888888/224/3221231693/1.m3u8
CCTV16[1920•1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226230/index.m3u8
CCTV17[1920•1080],http://39.134.66.46/PLTV/88888888/224/3221225708/index.m3u8
CCTV17[1920•1080],http://39.134.65.181/PLTV/88888888/224/3221225708/index.m3u8
CCTV17[1920•1080],http://39.134.65.183/PLTV/88888888/224/3221225708/index.m3u8
CCTV17[1920•1080],http://117.148.179.167/PLTV/88888888/224/3221231772/1.m3u8

📺卫视蓝光,#genre#
东方卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
江苏卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
江苏卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
北京卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
北京卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8
湖南卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
湖南卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8
山东卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
山东卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8
东南卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
广东卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8
广东卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225701/index.m3u8
江西卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
江西卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8
安徽卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
安徽卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
浙江卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
浙江卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8
深圳卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225700/index.m3u8
天津卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225739/index.m3u8
天津卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8
黑龙江卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
黑龙江卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225690/index.m3u8
湖北卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8
湖北卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225699/index.m3u8
辽宁卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
辽宁卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225696/index.m3u8
重庆卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
重庆卫视[1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225692/index.m3u8
东方卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225659/index.m3u8
江苏卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225702/index.m3u8
北京卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225673/index.m3u8
北京卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225673/index.m3u8
湖南卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225704/index.m3u8
山东卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225738/index.m3u8
东南卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225657/index.m3u8
广东卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225742/index.m3u8
江西卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225705/index.m3u8
安徽卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225691/index.m3u8
浙江卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225703/index.m3u8
浙江卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225703/index.m3u8
辽宁卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225696/index.m3u8
重庆卫视[1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225734/index.m3u8
湖南卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225704/index.m3u8
湖南卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225745/index.m3u8
江苏卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225702/index.m3u8
江苏卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225743/index.m3u8
浙江卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225703/index.m3u8
浙江卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225744/index.m3u8
东方卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225658/index.m3u8
东方卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225659/index.m3u8
广东卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225701/index.m3u8
广东卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225742/index.m3u8
深圳卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225700/index.m3u8
深圳卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225741/index.m3u8
北京卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225674/index.m3u8
天津卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225698/index.m3u8
天津卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225739/index.m3u8
山东卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225697/index.m3u8
山东卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225738/index.m3u8
湖北卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225699/index.m3u8
湖北卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225740/index.m3u8
黑龙江卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225690/index.m3u8
黑龙江卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225736/index.m3u8
安徽卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225691/index.m3u8
安徽卫视[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225737/index.m3u8
